iter	Passed	Remaining
838	1213	232
839	1215	231
840	1216	229
841	1217	228
842	1218	227
843	1220	225
844	1221	224
845	1223	222
846	1224	221
847	1225	219
848	1227	218
849	1228	216
850	1229	215
851	1231	213
852	1232	212
853	1233	210
854	1235	209
855	1236	208
856	1238	206
857	1239	205
858	1240	203
859	1241	202
860	1243	200
861	1245	199
862	1246	197
863	1247	196
864	1249	194
865	1250	193
866	1252	192
867	1253	190
868	1254	189
869	1256	187
870	1258	186
871	1259	184
872	1260	183
873	1262	181
874	1263	180
875	1265	179
876	1266	177
877	1267	176
878	1269	174
879	1270	173
880	1271	171
881	1272	170
882	1274	168
883	1275	167
884	1277	165
885	1278	164
886	1279	163
887	1280	161
888	1282	160
889	1283	158
890	1284	157
891	1286	155
892	1287	154
893	1288	152
894	1290	151
895	1291	149
896	1292	148
897	1294	146
898	1295	145
899	1296	144
900	1298	142
901	1299	141
902	1300	139
903	1302	138
904	1303	136
905	1304	135
906	1305	133
907	1307	132
908	1308	131
909	1309	129
910	1311	128
911	1312	126
912	1313	125
913	1315	123
914	1316	122
915	1317	120
916	1319	119
917	1320	117
918	1321	116
919	1323	115
920	1324	113
921	1325	112
922	1327	110
923	1328	109
924	1330	107
925	1331	106
926	1332	104
927	1334	103
928	1335	102
929	1336	100
930	1338	99
931	1339	97
932	1341	96
933	1342	94
934	1343	93
935	1344	91
936	1346	90
937	1347	89
938	1348	87
939	1350	86
940	1351	84
941	1352	83
942	1354	81
943	1355	80
944	1356	78
945	1358	77
946	1359	76
947	1361	74
948	1362	73
949	1363	71
950	1365	70
951	1366	68
952	1367	67
953	1369	66
954	1370	64
955	1371	63
956	1373	61
957	1374	60
958	1375	58
959	1376	57
960	1378	55
961	1379	54
962	1380	53
963	1382	51
964	1383	50
965	1384	48
966	1386	47
967	1387	45
968	1389	44
969	1390	43
970	1391	41
971	1393	40
972	1394	38
973	1395	37
974	1397	35
975	1398	34
976	1399	32
977	1400	31
978	1402	30
979	1403	28
980	1404	27
981	1406	25
982	1407	24
983	1408	22
984	1410	21
985	1419	20
986	1422	18
987	1425	17
988	1427	15
989	1430	14
990	1433	13
991	1434	11
992	1436	10
993	1438	8
994	1439	7
995	1441	5
996	1442	4
997	1443	2
998	1445	1
999	1446	0
